AWS Account ID,Month,OpenSearch Service($),SageMaker($),QuickSight($),Transcribe($),Bedrock($),Key Management Service($),GuardDuty($),Config($),S3($),CloudWatch Events($),DynamoDB($),Lambda($),Glacier($),CloudTrail($),Secrets Manager($),SNS($),SQS($),CloudFormation($),CloudShell($),Step Functions($),X-Ray($),Polly($),Textract($),CloudWatch($),Security Hub($),Redshift($),Elastic Beanstalk($),Kinesis($),Athena($),API Gateway($),Total costs($)
12345678901,Service total,437.09,955.64,758.79,638.79,240.42,240.4,152.28,879.56,641,737.27,118.53,972.92,849.2,291.11,263.64,265.06,373.82,572.28,488.75,362.11,650.67,225.54,362.93,429.73,510.46,806.66,279.71,562.81,633.17,141.81,14842.13
12345678901,3/1/25,307.7,93.56,41.88,474.95,483.16,406.11,159.26,57.86,345.27,225.67,69.8,252.64,26.85,455.57,136.8,334.64,162.74,264.83,277.89,100.58,485.1,389.82,470.35,448.47,302.97,461.72,53.36,106.03,32.16,169.41,7597.14
12345678901,1/30/25,142.96,416.08,184.81,147.66,275.92,79.05,403.08,46.53,493.57,388.4,107.37,12.71,409.58,356.36,367.21,387.92,46.28,185.65,66.78,432.92,315.42,172.14,41.14,162.38,169.34,367.51,322.4,444.73,241.39,68.6,7255.89
12345678901,12/31/24,382.78,285.03,387.77,251.96,266.14,219.5,22.46,62.87,25.4,321.84,164.03,259.2,454.71,132.15,211.09,380.22,122.11,47.72,151.98,89,465.55,405.98,320.37,437.02,403.8,101.42,447.35,274.28,405.65,449.08,7948.45
12345678901,12/1/24,63.93,121.69,219.28,410.83,431.76,13.41,260.27,214.53,118.83,68.73,175.43,472.03,168.37,264.21,354.48,188.18,486.17,481.6,133.37,253.65,157.43,149.57,28.07,308.69,256.31,35.22,146.54,455.05,127.39,81,6646.01
12345678901,11/1/24,492.97,128.61,339.35,383.19,126.44,366.83,190.21,319.83,320.43,272.53,54.24,419.3,167.18,101.39,29.98,299.54,342.01,18.13,260.93,120.98,326.13,95.44,348.56,199.5,469,77.39,177.12,65.6,463.1,439.9,7415.8
12345678901,10/2/24,333.39,410.44,282.05,269.53,128.51,55.62,449.64,451.2,320.22,176.12,181.11,365.72,449.58,444.67,392.14,324.6,51.23,89.2,450.29,307.15,14.51,59.72,335.12,12.48,88.8,278.88,349.03,329.46,119.89,358.97,7879.26
12345678901,9/2/24,169.45,375.78,328.32,426.12,332.23,288.47,55.9,190.18,139.95,129.55,486.78,202.62,447.1,319.26,399.46,256.29,292.68,251.33,105.67,364,147.58,21.91,326.28,96.78,470.82,477.43,458.28,191.38,17.57,464.88,8234.06
12345678901,8/3/24,483.66,482.17,427.97,154.28,198.7,427.06,165.29,93.05,282.83,468.72,351.05,289.33,57.62,311.35,495.13,78.64,263.98,439.91,372.98,351.54,354.22,186.15,153.86,406.59,406.96,434.87,457.49,260.56,255.74,401.16,9512.86
12345678901,7/4/24,353.96,399.94,446.1,175.62,194.04,56.05,293.36,27.61,238.14,275.9,150.41,299.51,24.95,28.3,413.07,186.49,72.26,265.9,387.3,115.75,315.22,51.82,35.32,270.36,274.91,322.34,365.78,488.17,262.99,168.25,6959.82
12345678901,6/4/24,142.71,225.1,48.44,22.42,481.7,2419.53,351.03,210.39,94.91,86.65,775.13,279.12,360.15,333.5,147.17,1998.73,1316.99,281.63,309.74,215.6,131.39,184.43,381.34,17.05,66.88,32.54,29.96,429.18,354.79,242.35,11970.55
12345678901,5/5/24,453.62,105.94,43.99,59.38,18.93,56.28,344.67,44.88,166.3,423.99,21.4,409.09,148.11,67.9,351.4,318.18,439.96,370.18,403.71,148.2,96.95,377.8,405.35,495.35,212.18,192.29,390.44,176.99,466.07,430.62,7640.15
12345678901,4/5/24,377.93,379.73,60.53,452.25,257.57,414.96,166.82,448.81,200.71,15.31,453.64,54.73,166.46,475.53,475.8,290.98,319.6,229.74,153.67,171.05,339.53,378.66,397.87,396.91,54.69,252.27,38.2,279.27,226.35,444.98,8374.56
12345678901,3/6/24,67.36,80.07,383.14,312.93,59.55,51.21,353.47,45.65,412.71,356.06,49.86,51.57,493.45,193.39,191.61,1170.61,474.15,493.14,379.16,194.37,50.92,390.8,283.62,217.87,454.11,64.49,251.39,15.56,239.64,37.59,7819.46
12345678901,2/5/24,154.3,497.96,351.49,198.26,371.18,458.47,479.76,38.35,203.32,62.31,174.47,93.14,326.96,869.21,122.4,793.12,186.57,137.38,232.09,25.83,147.08,211.49,305.36,142.77,75.26,47.34,470.86,214.15,294.77,460.4,8146.07
12345678901,1/6/24,365.8,380.97,195.15,128.13,110.47,133.21,144.62,111.54,440.33,380.93,32.98,141.65,20.87,254.1,243.34,417.37,160.81,410.03,484.31,53.32,397.99,299.08,245.22,216.06,394.49,323.29,404.47,452.54,312.46,490.43,8145.96
12345678901,12/7/23,321.96,281.86,54.59,365.93,278.25,230.95,456.13,156,266.57,351.84,400.27,235.08,422.62,386.77,42.46,32.47,314.19,180.23,112.47,294.03,177.37,273.26,235.46,296.54,206.15,351.86,98.23,351.29,211.71,438.42,7824.95
12345678901,11/7/23,486.82,304.95,119.69,412.68,179.09,180.33,25.58,278.87,271.87,184.44,448.17,73.09,171.75,167.58,55.22,245.76,347.01,260.71,86.92,194.87,11.27,435.47,51.41,302.67,493.27,272.93,462.78,125.7,382.38,270.32,7303.58
12345678901,10/8/23,40.55,82.39,75.23,346.71,423.78,377.31,24.93,434.94,183.53,204.61,61.39,371.33,99.32,286.34,421.95,53.71,272.31,124.28,178.03,242.25,184,327.92,245,296.26,371.04,283.29,297.4,286.58,195.6,175.35,6967.33
12345678901,9/8/23,307.7,129.73,254.14,171.87,467.51,13.69,120.41,189.02,249.03,426.9,53.06,404.87,37.27,422.73,35.3,18.94,351.51,498.66,449.34,292.24,459.52,12.6,487.78,250.47,364.22,412.22,362.04,272.17,243.54,420.91,8179.41
12345678901,8/9/23,484.32,358.37,107.76,370.76,269.62,356.54,386.21,52.77,257.99,466.69,167.11,301,190.92,232.59,278.82,278.97,108.85,345.44,53.06,78.02,11.33,67.18,241.85,306.99,399.2,62.28,426.86,375.53,210.17,467.14,7714.35
12345678901,7/10/23,110.45,195.82,463.96,363.58,33.57,392.94,415.69,377.75,401.77,414.32,101.34,125.49,320.54,454.85,164.94,298.27,344.66,231.45,359.75,450.84,315.81,274.49,224.98,292.97,184.13,201.83,270.61,42.64,122.22,276,8227.67
12345678901,6/10/23,173.08,367.97,349.92,91.7,440.53,252.76,373.32,290.84,498.87,378.68,356.42,391.5,80.13,110.23,359.89,252.05,379.77,60.43,272.88,195.62,233.93,305.94,256.12,274.53,248.32,210.39,388.22,15.98,303.24,287.1,8200.35
12345678901,5/11/23,303.52,415.13,479.95,177.84,121.4,217.56,151.09,311.33,456.81,78.17,59.39,135.45,365.79,300.55,60.08,460.19,397.14,21.28,329.17,387.91,193.47,43.77,47.89,61.08,421.82,456.24,70.18,125.59,91.11,101.3,6842.18
12345678901,4/11/23,172.75,162.61,121.42,307.87,195.86,374.68,110.73,396.02,305.82,65.99,213.11,433.12,462.25,238.19,245.61,460.04,297.66,26.09,457.25,131.63,293.04,91.1,26.6,162.62,392.44,146.02,117.85,114.21,262.44,488.02,7273.06
12345678902,Service total,601.57,874.57,581.56,266.02,369.64,378.94,457.59,484.11,819.8,414.45,521.41,662.48,439.95,852.91,628.71,364.64,742.65,574.88,581.01,532.98,547.31,788.82,192.68,400.93,167.95,777.92,345.07,907.69,573.92,820.67,16672.84
12345678902,3/1/25,489.68,421.5,434.83,209.91,280.34,134.41,106.1,257.7,301.57,176.24,289.03,444.86,282.79,363.2,404.6,494.48,305.57,405.36,481.7,472.76,79.13,209.13,168.76,52.59,320.29,370.59,425.58,70.16,439.46,325.03,9217.34
12345678902,1/30/25,456.21,316.13,174.57,414.3,187.9,26.77,417.02,179.14,389.18,187.75,431.92,117.56,487.53,392.08,65.98,287.23,492.83,240.82,99.23,247.54,261.1,373.43,352.43,207.25,116.83,326.08,216.63,74.82,451.28,348.7,8340.26
12345678902,12/31/24,413.07,269.53,409.38,254.06,42.92,208.57,253.76,362.9,62.22,78.61,139.21,140.58,368.77,132.86,320.22,252.19,290.91,420.67,208.15,387.75,216.8,183.4,479.73,100.34,54.27,387.78,43.44,420.17,224.22,458.6,7585.08
12345678902,12/1/24,309.1,475.16,204.36,477.5,76.15,247.04,142.26,274.52,89.39,422.35,424.74,478.07,85.79,315.43,242.38,178.75,182.25,212.27,355.41,303.16,235.24,47.21,48.11,11.15,484.17,12.57,60.52,164.15,405.64,481.43,7446.26
12345678902,11/1/24,348.37,265.44,52.49,479.5,381.61,323.09,381.93,364.81,322.24,490.48,452.65,326.87,349.66,35.28,338.26,31.64,298.25,499.68,282.35,241.87,163.3,69.06,368.2,104.37,66.49,216.66,399.72,375.08,36.89,233.02,8299.26
12345678902,10/2/24,325.83,328.58,188.7,284.73,245.72,443.65,269.83,226.11,208.2,290.49,403.95,273.82,334.21,371.55,264.88,219.14,439.57,214.58,236.35,495.27,10.12,100.88,198.14,466.97,44.31,14.65,35.82,53.39,28.42,245.09,7262.94
12345678902,9/2/24,143.13,205.16,54.93,174.82,266.03,368.81,11.64,238.98,155.53,427.88,360.62,298.66,145.86,456.07,32.1,63.64,201.9,70.97,478.64,401.01,136.9,298.39,491.34,443.26,304.39,452.82,494.7,374.24,41.84,206.77,7801.08
12345678902,8/3/24,122.98,417.01,68.97,33,198.2,28,479.06,414.84,402.38,318.59,116,263.95,302.66,267.27,137.51,262.47,250.68,498.2,449.74,237.06,315.24,376.46,27.08,448.51,431.46,234.14,201.67,143.75,243.57,31.74,7722.22
12345678902,7/4/24,27.36,171.24,466.48,370.25,147.88,133.8,12.49,350.9,33.9,270.98,481.44,63.64,448.3,495.82,40.14,442.62,262.88,454.19,289.95,334.43,276.45,433.6,369.62,265.42,435.4,130.19,87.1,88.6,173.66,126.96,7685.68
12345678902,6/4/24,61.86,352.51,102.72,442,481.04,238.08,440.75,12.52,411.77,122.03,455.26,10.55,282.53,380.75,136.76,104.64,51.21,169.95,284.32,66.76,194.58,14.45,411.15,72.94,148.84,19.03,221.8,421.66,202.15,97.95,6412.56
12345678902,5/5/24,396.52,95.14,387.72,474.18,91.53,387.78,357.2,242.05,38.38,46.6,427.68,495.17,341.27,228.52,327.31,301.25,197.97,42.16,412.54,192.2,411.2,133.73,10.5,87.88,239.58,472.71,60.07,428.56,268.24,414.7,8010.35
12345678902,4/5/24,421.57,388.68,122.73,74.35,435.35,481.99,25.34,368.32,455.67,430.11,482.62,382.45,226.73,162.86,167.16,364.97,375.46,108.18,435.38,360.31,285.75,241.05,276.18,88.03,109.81,54.67,85.29,232.31,269.87,18.75,7931.93
12345678902,3/6/24,154.14,456.8,484.08,100.87,236.43,10.6,303.18,307.58,131.29,283.62,120.51,415.74,329.24,169.7,299.23,222.29,492.33,83.29,237.65,343.42,203.82,487.6,363.72,331.92,380.96,476.8,454.83,364.9,377.09,176.43,8800.11
12345678902,2/5/24,476.26,70.87,449.15,301.44,312.14,310.34,156.43,468.25,474.2,316.4,393.88,310.01,247.36,333.8,280.97,302.76,394.08,245.64,29.97,90.36,224.92,365.17,300.71,328.64,244.85,311.71,171.22,240.39,374.7,437.2,8963.8
12345678902,1/6/24,31.39,89.22,20.22,330.1,172.83,275.81,251.71,49.95,207.6,118.07,215.02,109.75,421.82,95.35,480.78,213.79,424.66,318.09,370.32,386.18,257.37,276.22,261.86,298.15,24.4,203.8,307.03,302.88,398.55,330.95,7243.92
12345678902,12/7/23,149.09,185.98,198.09,238.25,419.64,125.54,390.24,208.6,304.91,319.94,192.7,261.18,212.39,43.88,224.21,57.72,208.46,300.53,293.91,334.68,56.68,329.54,162.95,205.53,430.41,14.42,298.32,303.37,204.36,126.14,6801.68
12345678902,11/7/23,443.02,226.59,172.14,229.9,338,81.42,230.22,298.06,2779.22,133.74,186.03,195.89,306.71,184.8,271.42,1187.58,1044.95,228.72,433.47,283.49,274.55,26.75,493.48,70.26,123.25,35.33,323.6,120.1,98.21,53.39,10874.3
12345678902,10/8/23,334.2,489.53,193.41,18.58,129.63,417.13,433.66,386.57,65.42,399.8,460.15,304.3,471.03,415.15,336.82,292.82,180.8,88.05,306.43,165.87,434.55,496.74,378.69,54.34,151.46,63.46,328.75,384.94,463.58,224.7,8870.57
12345678902,9/8/23,440.17,165.43,435.76,194.08,155.47,328.05,170.91,318.8,308.82,286.09,196.41,278.76,302.28,277.39,227.77,17.19,297.66,92.54,324.86,382.08,255.22,275.76,476.22,425.11,457.98,408.75,63.37,83.01,268.05,130.57,8044.51
12345678902,8/9/23,203.24,279.21,375.97,360.59,265.4,412.97,221.12,449.39,44.93,477.78,330.8,196.24,106.61,244.8,105.33,91.5,312.5,266.31,338.35,465.51,270.81,294.66,53.92,361.64,205.95,488.6,413.36,266.02,70.38,431.11,8404.99
12345678902,7/10/23,100.45,154.69,398.77,100.76,459.7,218.02,52.65,409.72,193.02,267.98,65.03,11.27,322.61,262.44,300.83,398.93,326.84,95.64,186.78,453.89,387.27,282.75,135.27,158.01,368.66,427.08,339,406.67,385.66,83.35,7753.73
12345678902,6/10/23,84.96,125.27,435.94,241.72,272.33,97.44,163.01,122.82,111.03,322.6,135.87,319.69,38.64,79.47,144.52,302.55,341.16,226.93,228.44,365.01,17.75,177.13,411.17,305.58,175.24,453.71,388.59,139.8,326.19,301.92,6856.48
12345678902,5/11/23,189.81,178.34,312.41,226.78,417.61,338.11,44.27,323.68,142.86,300.48,343.26,123.11,233.86,103.26,35.65,195.45,187.84,497.79,228.71,173.45,294.43,53.5,481.22,321.13,379.87,93.53,210.64,217.12,412.69,10.61,7071.46
12345678902,4/11/23,490.81,242.69,197.44,68.72,487.34,19.81,371.22,386.61,129.39,339.06,55.54,135.95,396.07,433.7,308.16,258.35,88.06,40.92,67.65,121.41,177.42,196.65,179.7,127.14,259.76,414.39,147.05,471.77,437.93,89.26,7139.98
12345678903,Service total,617.13,609.92,451.94,551.04,457.46,585.76,665.16,706.87,579.23,749.28,227.15,290.78,836.86,390.28,120.6,238.41,301.25,961.59,615.74,939.46,617.65,531.42,382.35,645.73,225.28,908.44,846.4,385.78,957.52,842.68,17239.15
